game_id,date,opponent,is_home,leafs_score,opponent_score,result,total_goals,rest_days,opp_win_pct,opp_goals_per_game,opp_goals_against_per_game,opp_points,opp_l10_wins,leafs_standing_points,leafs_pp_pct,leafs_pk_pct,leafs_corsi_pct,leafs_fenwick_pct,leafs_pdo,leafs_shots_pg,leafs_shots_against_pg,leafs_faceoff_pct,leafs_save_pct,leafs_shooting_pct,leafs_zone_start_pct,opp_pp_pct,opp_pk_pct,opp_corsi_pct,opp_pdo,opp_save_pct
2017020468,2017-12-12,PHI,0,2,4,L,6,2,0.32,2.8,3.12,23,1,35,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.1986,0.7621,0.4963,0.998,0.9193
2017020484,2017-12-14,MIN,0,0,2,L,2,2,0.548,2.94,2.84,37,7,41,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.2055,0.8105,0.4681,1.0075,0.9268
2017020494,2017-12-15,DET,0,1,3,L,4,1,0.375,2.69,3.22,31,2,41,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.1752,0.7752,0.4883,0.9956,0.9197
2017020516,2017-12-19,CAR,1,8,1,W,9,4,0.419,2.84,3.13,33,4,41,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.1841,0.7749,0.5448,0.9791,0.9088
2017020526,2017-12-20,CBJ,0,2,4,L,6,1,0.625,2.94,2.62,41,6,41,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.1713,0.751,0.5143,1.003,0.9281
2017020548,2017-12-23,NYR,0,3,2,W,5,3,0.531,3.28,2.94,37,6,41,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.2116,0.8138,0.4592,0.9975,0.9221
2017020572,2017-12-28,ARI,0,7,4,W,11,5,0.22,2.29,3.56,23,2,48,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.1687,0.8,0.4809,0.995,0.9218
2017020584,2017-12-29,COL,0,3,4,L,7,1,0.5,3.24,3.16,41,6,48,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.212,0.8333,0.4743,1.0123,0.9301
2017020593,2017-12-31,VGK,0,3,6,L,9,2,0.703,3.57,2.86,54,9,48,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.2045,0.8097,0.5096,1.0094,0.9255
2017020602,2018-01-02,TBL,1,0,2,L,2,2,0.737,3.79,2.45,58,8,48,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.247,0.7595,0.518,1.0191,0.9293
